2B,AVG,SB,SH,G,POS,3B,SO,Team,SLG
34,.358,2,0,85,DH,2,63,OAX,.592
24,.359,0,0,98,DH,1,47,YUC,.503
16,.325,3,0,98,1B,1,52,MTY,.530
29,.327,5,3,99,3B,1,57,REY,.520
0,.000,0,0,3,C,0,1,MEX,.000
1,.143,0,1,25,SS,1,12,VER,.204
12,.267,9,10,94,OF,1,99,OAX,.344
4,.265,1,4,21,SS,0,11,MEX,.469
16,.342,25,8,102,OF,8,48,MEX,.536
19,.294,9,2,86,3B,0,60,YUC,.378
8,.272,0,1,45,1B,0,15,TIG,.474
1,.261,1,0,18,C,0,4,MIN,.304
0,.000,0,0,3,C,0,3,CAM,.000
3,.237,1,2,50,2B,0,17,YUC,.263
0,.200,0,1,4,3B,0,0,CAM,.200
18,.340,6,4,86,OF,0,36,MVA,.497
0,.250,0,0,10,C,1,1,TIG,.500
13,.296,2,2,97,DH,0,55,CAM,.470
10,.219,2,3,56,C,0,35,SAL,.355
12,.230,0,3,58,C,0,35,VER,.321
15,.283,5,6,81,OF,0,46,MTY,.386
3,.317,1,2,54,3B,1,9,PUE,.394
25,.323,2,0,96,1B,0,97,LAG,.566
15,.290,2,1,103,OF,0,95,VER,.622
9,.320,4,4,53,SS,1,18,MVA,.391
11,.331,15,4,78,RF,2,34,CAM,.466
13,.266,2,1,97,DH,0,63,TIG,.458
22,.322,7,0,97,OF,2,53,CAM,.655
26,.351,0,2,75,OF,2,26,MEX,.603
21,.272,1,9,100,SS,0,46,PUE,.384
19,.304,1,5,87,3B,2,82,SAL,.473
0,.195,0,2,31,C,0,5,TIG,.268
6,.246,3,5,74,OF,3,33,OAX,.338
1,.222,3,0,44,OF,0,13,MIN,.244
14,.274,4,5,43,SS,0,13,MTY,.411
15,.279,27,0,59,OF,1,39,SAL,.382
25,.336,9,2,102,OF,0,36,LAG,.481
28,.256,7,11,94,2B,1,56,MVA,.421
10,.327,3,0,40,SS,0,41,SAL,.597
0,.200,0,1,9,OF,0,1,CAM,.200
7,.281,3,6,64,2B,2,20,CAM,.381
10,.280,7,12,92,SS,1,46,TIG,.398
3,.258,3,2,45,LF,0,25,MTY,.348
1,.226,1,0,19,OF,0,11,MVA,.242
5,.248,4,6,37,OF,1,33,CAM,.430
27,.390,30,1,97,OF,2,85,MEX,.770
6,.291,4,3,49,2B,1,25,SAL,.462
7,.276,0,0,49,1B,0,33,MTY,.427
16,.341,0,0,90,DH,0,50,REY,.580
4,.329,4,8,46,2B,2,21,MTY,.445
0,.000,0,0,1,2B,0,1,REY,.000
15,.253,6,2,102,RF,0,150,VER,.562
14,.267,1,6,81,C,0,50,YUC,.424
3,.237,0,10,39,C,1,27,CAM,.320
15,.396,1,0,83,1B,2,41,OAX,.653
2,.167,0,0,17,C,0,9,REY,.233
6,.366,2,0,36,1B,2,29,SAL,.731
0,.250,0,0,5,SS,0,1,YUC,.250
8,.249,3,14,81,2B,2,32,REY,.308
32,.310,3,3,98,3B,0,58,MIN,.545
0,--,0,0,1,C,0,0,MTY,--
22,.290,5,4,97,2B,3,28,YUC,.394
0,.133,0,0,4,2B,0,4,MVA,.133
0,.263,2,1,6,C,0,4,LAG,.263
17,.282,6,7,81,3B,2,42,SAL,.416
26,.339,0,0,101,1B,0,64,TAB,.574
3,.241,0,9,76,OF,1,31,TAB,.289
8,.326,1,2,66,RF,0,17,TAB,.424
11,.240,0,5,73,SS,0,54,MEX,.317
17,.260,5,7,88,SS,5,51,SAL,.356
0,.000,0,0,5,C,0,1,VER,.000
10,.312,0,0,44,1B,1,28,MTY,.580
9,.289,3,4,78,3B,0,38,CAM,.369
23,.320,14,2,105,CF,3,62,PUE,.544
7,.277,7,2,55,OF,0,17,PUE,.351
7,.320,0,0,45,3B,2,26,YUC,.435
3,.242,0,1,16,3B,0,8,SAL,.290
13,.300,2,7,82,2B,1,23,MTY,.365
16,.322,3,0,53,RF,2,33,MTY,.528
0,.318,4,1,19,C,1,7,CAM,.364
10,.271,0,12,70,SS,0,32,TAB,.354
23,.295,0,7,100,3B,0,65,TAB,.428
5,.263,0,3,42,C,0,16,REY,.313
13,.276,1,1,105,C,1,66,TIG,.508
18,.290,10,2,80,OF,1,55,TIG,.406
1,.211,0,0,8,OF,0,7,SAL,.263
0,.000,0,0,4,OF,0,0,MTY,.000
0,.111,0,0,11,2B,0,7,TIG,.111
12,.275,0,8,63,C,0,46,CAM,.530
6,.286,2,2,37,OF,0,19,MIN,.408
1,.170,1,0,20,C,0,8,PUE,.191
3,.281,0,0,14,2B,0,7,SAL,.544
12,.335,15,2,52,SS,1,33,LAG,.430
1,.286,1,0,26,OF,1,18,LAG,.446
7,.271,3,5,58,3B,0,40,MVA,.356
